Игрок 1: Мафия
Игрок 2: Мафия
Игрок 3: Мафия
Игрок 4: Мафия
Игрок 5: Мафия
Игрок 6: Мафия
Игрок 7: Маньяк
Игрок 8: Комиссар
Игрок 9: Комиссар
Игрок 10: Комиссар
Игрок 11: Мирный житель
Игрок 12: Мирный житель
Игрок 13: Мирный житель
Игрок 14: Мирный житель
Игрок 15: Мирный житель
Игрок 16: Мирный житель
Игрок 17: Мирный житель
Игрок 18: Мирный житель
Игрок 19: Мирный житель
Игрок 20: Мирный житель
Игрок 21: Мирный житель
Игрок 22: Мирный житель
Игрок 23: Мирный житель
Игрок 24: Мирный житель
Игрок 25: Мирный житель
Игрок 26: Мирный житель
Игрок 27: Мирный житель
Игрок 28: Мирный житель
Игрок 29: Мирный житель
Игрок 30: Мирный житель
Игра началась!
